"HYBAS_ID","Quarter","Year","TimeSeriesID","SurveyID","Species","Abundance","UnitAbundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2"
"11475",6070709820,"2/3",2013,"G94","alt73","Serrapinnus notomelas",3,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11360",6070709820,"2/3",2013,"G81","alt60","Aspidoras fuscoguttatus",6,"Count",2,"S12850","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO COMPRIDO",-20.08817,-50.20741,22,"K",1,1
"11361",6070709820,"2/3",2013,"G81","alt60","Astyanax lacustris",1,"Count",2,"S12850","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO COMPRIDO",-20.08817,-50.20741,22,"K",1,1
"11362",6070709820,"2/3",2013,"G81","alt60","Hypostomus ancistroides",15,"Count",2,"S12850","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO COMPRIDO",-20.08817,-50.20741,22,"K",1,1
"11363",6070709820,"2/3",2013,"G81","alt60","Imparfinis schubarti",3,"Count",2,"S12850","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO COMPRIDO",-20.08817,-50.20741,22,"K",1,1
"11364",6070709820,"2/3",2013,"G81","alt60","Knodus moenkhausii",14,"Count",2,"S12850","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO COMPRIDO",-20.08817,-50.20741,22,"K",1,1
"11365",6070709820,"2/3",2013,"G81","alt60","Poecilia reticulata",2,"Count",2,"S12850","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO COMPRIDO",-20.08817,-50.20741,22,"K",1,1
"11366",6070709820,"2/3",2013,"G81","alt60","Rhamdia quelen",2,"Count",2,"S12850","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO COMPRIDO",-20.08817,-50.20741,22,"K",1,1
"11411",6070709820,"2/3",2013,"G86","alt65","Aspidoras fuscoguttatus",14,"Count",2,"S12855","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","DULCINOPOLIS","UNNAMED TRIBUTARY CORREGO ARRANCADO",-20.12915,-50.49183,22,"K",1,1
"11412",6070709820,"2/3",2013,"G86","alt65","Astyanax lacustris",3,"Count",2,"S12855","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","DULCINOPOLIS","UNNAMED TRIBUTARY CORREGO ARRANCADO",-20.12915,-50.49183,22,"K",1,1
