"HYBAS_ID","rank_diff","median"
"1","2070021230",0.194444444444444,471.5
"2","2070021360",0.272727272727273,393
"3","2070469050",0.333333333333333,238.5
"4","2070470930",0.290816326530612,293
"5","2070513970",0.289598513374737,101
"6","5070070110",0.265776488919668,113
"7","5070070390",0.249567474048443,336
"8","5070070440",0.280276816608997,194
"9","5070070450",0.244897959183673,324
"10","5070468810",0.265625,91.5
"11","6070015200",0.2,114
"12","6070709820",0.297197830578512,113
"13","6070713620",0.285714285714286,95.5
"14","7070042610",0.270308376257886,201
"15","7070317870",0.2607421875,219
"16","7070327640",0.3125,65
"17","7070360890",0.333333333333333,74
"18","7070415980",0.296296296296296,117.5
"19","7070450470",0.271219135802469,81
"20","7070451570",0.283950617283951,147
"21","7070453370",0.301775147928994,90.5
"22","7070620210",0.233580045351474,306
"23","7070630060",0.204545454545455,425
"24","7070642870",0.229228303747535,352
"25","7070643030",0.259259259259259,228
"26","7070647250",0.25207756232687,262
"27","7070647350",0.241965973534972,231
"28","7070648760",0.240190249702735,424.5
"29","7070651920",0.268520634920635,156.5
"30","7070656320",0.256198347107438,341
"31","7070663220",0.237603305785124,385
"32","7070684690",0.2768,169
