"MCsize","Pseudo_R2"
"1",249,0.0146938483554251
"2",311,0.0183578417613677
"3",222.5,0.0170983490507802
"4",119.5,0.0144557160508072
"5",64.5,0.00649193759338462
"6",209,0.0163544082256955
"7",185.5,0.0178868898827009
"8",256,0.0176868260172223
"9",62.5,0.010801302420604
"10",23,0.0145316344202921
"11",125.5,0.0113175361159138
"12",139.5,0.0170134436094277
"13",17,0.0106007093194267
"14",185.5,0.0204878252787979
"15",251,0.0169827106014147
"16",111,0.017164078284188
"17",270,0.0151583535751152
"18",278.5,0.018386999629334
"19",152.5,0.0135501393169091
"20",269.5,0.0209889442393324
"21",209,0.0229096049080408
"22",228,0.0160691625321529
"23",88.5,0.0160289049811572
"24",236.5,0.0167709099475695
"25",315.5,0.0214698208546026
"26",262.5,0.0219591549078924
"27",325,0.0202688212938971
"28",177.5,0.0191288703523239
"29",146,0.0168260317635909
"30",63,0.0147992822378106
