"HYBAS_ID","Quarter.x","UnitAbundance","Year","TimeSeriesID","SurveyID","Species","Abundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2","dis_m3_pyr","ele_mt_cav","tmp_dc_cyr","pre_mm_cyr","hft_ix_c","CSI","CSI_FF2"
"23",7070360890,"3","Count",2000,"G1903","mon2216","Oncorhynchus clarkii",55,25,"S5810","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MURPHY SPRING CREEK",47.04397,-113.006,12,"TRUE",3,3,3.988,1561,39,475,11,99.955,1
"24",7070360890,"3","Count",2000,"G1903","mon2216","Salvelinus fontinalis",1,25,"S5810","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MURPHY SPRING CREEK",47.04397,-113.006,12,"TRUE",3,3,3.988,1561,39,475,11,99.955,1
"25",7070360890,"3","Count",2000,"G1908","mon2272","Prosopium williamsoni",1,25,"S5922","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","NORTH FORK BLACKFOOT RIVER",47.02144,-113.0255,12,"TRUE",3,3,3.988,1561,39,475,11,99.955,1
"26",7070360890,"3","Count",2000,"G1908","mon2272","Salmo trutta",10,25,"S5922","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","NORTH FORK BLACKFOOT RIVER",47.02144,-113.0255,12,"TRUE",3,3,3.988,1561,39,475,11,99.955,1
"27",7070360890,"3","Count",2000,"G1908","mon2272","Salvelinus confluentus",20,25,"S5922","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","NORTH FORK BLACKFOOT RIVER",47.02144,-113.0255,12,"TRUE",3,3,3.988,1561,39,475,11,99.955,1
"28",7070360890,"3","Count",2000,"G1760","mon172","Catostomus catostomus",1,25,"S6442","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","PEARSON CREEK",46.99613,-113.2311,12,"TRUE",2,2,0.43,1314,46,433,20,99.925,1
"29",7070360890,"3","Count",2000,"G1760","mon172","Oncorhynchus clarkii",199,25,"S6442","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","PEARSON CREEK",46.99613,-113.2311,12,"TRUE",2,2,0.43,1314,46,433,20,99.925,1
"30",7070360890,"3","Count",2000,"G1760","mon172","Salvelinus fontinalis",2,25,"S6442","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","PEARSON CREEK",46.99613,-113.2311,12,"TRUE",2,2,0.43,1314,46,433,20,99.925,1
"31",7070360890,"3","Count",2000,"G1766","mon224","Oncorhynchus clarkii",153,25,"S6555","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","CHAMBERLAIN CREEK",46.99845,-113.2461,12,"TRUE",2,2,0.43,1314,46,433,20,99.925,1
"32",7070360890,"3","Count",2000,"G1766","mon224","Oncorhynchus mykiss",1,25,"S6555","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","CHAMBERLAIN CREEK",46.99845,-113.2461,12,"TRUE",2,2,0.43,1314,46,433,20,99.925,1
"33",7070360890,"3","Count",2000,"G1766","mon224","Salmo trutta",2,25,"S6555","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","CHAMBERLAIN CREEK",46.99845,-113.2461,12,"TRUE",2,2,0.43,1314,46,433,20,99.925,1
"34",7070360890,"3","Count",2000,"G1766","mon224","Salvelinus fontinalis",4,25,"S6555","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","CHAMBERLAIN CREEK",46.99845,-113.2461,12,"TRUE",2,2,0.43,1314,46,433,20,99.925,1
"35",7070360890,"3","Count",2000,"G1769","mon241","Oncorhynchus clarkii",174,25,"S6647","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","CHAMBERLAIN CREEK",47.01075,-113.2664,12,"TRUE",2,2,0.43,1314,46,433,20,99.925,1
