"HYBAS_ID","Quarter.x","UnitAbundance","Year","TimeSeriesID","SurveyID","Species","Abundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2","dis_m3_pyr","ele_mt_cav","tmp_dc_cyr","pre_mm_cyr","hft_ix_c93","hft_ix_c09","CSI","CSI_FF2"
"1",2070053100,"4","Ind.100m2",2010,"G2533","nfp3572","Salmo salar",8.235,27,"S8179","Electrofishing","Palearctic",2080053100,"GBR","ENGLAND","DURHAM","RIVER TEES",54.64882,-2.145641097,30,"U",1,1,0.238,499,63,1122,177,117,99.9847,1
"2",2070053100,"4","Ind.100m2",2010,"G2533","nfp3572","Salmo trutta",2.157,27,"S8179","Electrofishing","Palearctic",2080053100,"GBR","ENGLAND","DURHAM","RIVER TEES",54.64882,-2.145641097,30,"U",1,1,0.238,499,63,1122,177,117,99.9847,1
"3",2070053100,"4","Ind.100m2",2010,"G2397","nfp2649","Salmo salar",4.663,27,"S7565","Electrofishing","Palearctic",2080053100,"GBR","ENGLAND","DURHAM","RIVER TEES",54.61385,-2.03867721,30,"U",3,3,9.253,304,74,953,220,142,84.823,3
"4",2070053100,"4","Ind.100m2",2010,"G2397","nfp2649","Salmo trutta",0.196,27,"S7565","Electrofishing","Palearctic",2080053100,"GBR","ENGLAND","DURHAM","RIVER TEES",54.61385,-2.03867721,30,"U",3,3,9.253,304,74,953,220,142,84.823,3
"5",2070053100,"4","Ind.100m2",2010,"G2405","nfp2731","Salmo trutta",4.911,27,"S7596","Electrofishing","Palearctic",2080053100,"GBR","ENGLAND","DURHAM","RIVER BALDER",54.57161,-2.047917654,30,"U",2,2,1.526,302,75,971,189,134,41.98412,3
"6",2070050520,"3","Ind.100m2",2014,"G4102","nfp13835","Anguilla anguilla",2.745,27,"S10316","Electrofishing","Palearctic",2080050520,"GBR","ENGLAND","CUMBRIA","DUB BECK",54.53702,-3.530605913,30,"U",1,1,0.293,142,80,1078,291,211,99.95955,1
"7",2070050520,"3","Ind.100m2",2014,"G4102","nfp13835","Salmo salar",5.098,27,"S10316","Electrofishing","Palearctic",2080050520,"GBR","ENGLAND","CUMBRIA","DUB BECK",54.53702,-3.530605913,30,"U",1,1,0.293,142,80,1078,291,211,99.95955,1
"8",2070050520,"3","Ind.100m2",2014,"G4102","nfp13835","Salmo trutta",70.98,27,"S10316","Electrofishing","Palearctic",2080050520,"GBR","ENGLAND","CUMBRIA","DUB BECK",54.53702,-3.530605913,30,"U",1,1,0.293,142,80,1078,291,211,99.95955,1
"9",2070050520,"3","Ind.100m2",2014,"G4108","nfp13872","Salmo trutta",3.846,27,"S10322","Electrofishing","Palearctic",2080050520,"GBR","ENGLAND","CUMBRIA","RIVER KEEKLE",54.553,-3.536337974,30,"U",1,1,0.293,142,80,1078,291,211,99.95955,1
"10",2070053100,"4","Ind.100m2",2010,"G2237","nfp1370","Salmo salar",10.922,27,"S6773","Electrofishing","Palearctic",2080053100,"GBR","ENGLAND","DURHAM","RIVER TEES",54.53294,-1.904156992,30,"U",3,3,13.669,187,81,846,266,220,88.52768,3
"11",2070053100,"4","Ind.100m2",2010,"G2237","nfp1370","Salmo trutta",1.418,27,"S6773","Electrofishing","Palearctic",2080053100,"GBR","ENGLAND","DURHAM","RIVER TEES",54.53294,-1.904156992,30,"U",3,3,13.669,187,81,846,266,220,88.52768,3
"12",2070053110,"3","Ind.100m2",2011,"G4721","nfp18406","Anguilla anguilla",1.935,27,"S2299","Electrofishing","Palearctic",2080053110,"GBR","ENGLAND","REDCAR AND CLEVELAND","NEWTON BECK",54.5504,-0.800255486,30,"U",1,1,0.279,175,84,789,246,194,99.98335,1
"13",2070053110,"3","Ind.100m2",2011,"G4721","nfp18406","Barbatula barbatula",4.516,27,"S2299","Electrofishing","Palearctic",2080053110,"GBR","ENGLAND","REDCAR AND CLEVELAND","NEWTON BECK",54.5504,-0.800255486,30,"U",1,1,0.279,175,84,789,246,194,99.98335,1
"14",2070053110,"3","Ind.100m2",2011,"G4721","nfp18406","Salmo trutta",110.323,27,"S2299","Electrofishing","Palearctic",2080053110,"GBR","ENGLAND","REDCAR AND CLEVELAND","NEWTON BECK",54.5504,-0.800255486,30,"U",1,1,0.279,175,84,789,246,194,99.98335,1
"15",2070053110,"3","Ind.100m2",2011,"G4787","nfp19004","Anguilla anguilla",1.25,27,"S2334","Electrofishing","Palearctic",2080053110,"GBR","ENGLAND","REDCAR AND CLEVELAND","EASINGTON BECK",54.55152,-0.809143784,30,"U",1,1,0.279,175,84,789,246,194,99.98335,1
"16",2070053110,"3","Ind.100m2",2011,"G4787","nfp19004","Barbatula barbatula",3.125,27,"S2334","Electrofishing","Palearctic",2080053110,"GBR","ENGLAND","REDCAR AND CLEVELAND","EASINGTON BECK",54.55152,-0.809143784,30,"U",1,1,0.279,175,84,789,246,194,99.98335,1
"17",2070053110,"3","Ind.100m2",2011,"G4787","nfp19004","Salmo trutta",71.875,27,"S2334","Electrofishing","Palearctic",2080053110,"GBR","ENGLAND","REDCAR AND CLEVELAND","EASINGTON BECK",54.55152,-0.809143784,30,"U",1,1,0.279,175,84,789,246,194,99.98335,1
"18",2070053110,"3","Ind.100m2",2011,"G4798","nfp19098","Barbatula barbatula",0.476,27,"S2344","Electrofishing","Palearctic",2080053110,"GBR","ENGLAND","REDCAR AND CLEVELAND","ROXBY BECK",54.55049,-0.809529378,30,"U",1,1,0.279,175,84,789,246,194,99.98335,1
"19",2070053110,"3","Ind.100m2",2011,"G4798","nfp19098","Salmo trutta",17.143,27,"S2344","Electrofishing","Palearctic",2080053110,"GBR","ENGLAND","REDCAR AND CLEVELAND","ROXBY BECK",54.55049,-0.809529378,30,"U",1,1,0.279,175,84,789,246,194,99.98335,1
"20",2070053100,"4","Ind.100m2",2010,"G5912","nfp38906","Salmo salar",1.108,27,"S5326","Electrofishing","Palearctic",2080053100,"GBR","ENGLAND","DARLINGTON","RIVER TEES",54.52433,-1.632256558,30,"U",3,3,20.575,63,88,690,300,322,91.82774,3
"21",2070053100,"4","Ind.100m2",2010,"G5912","nfp38906","Salmo trutta",0.123,27,"S5326","Electrofishing","Palearctic",2080053100,"GBR","ENGLAND","DARLINGTON","RIVER TEES",54.52433,-1.632256558,30,"U",3,3,20.575,63,88,690,300,322,91.82774,3
